id,category,app,what_it_does,auth,access,api_surface,buildability,main_blocker,evidence_url
14,Support & Helpdesk,Front,Front is a support & helpdesk product used to manage or automate work in its domain.,API token; OAuth2,Self-serve token,REST,Buildable,Workspace permissions,https://dev.frontapp.com/docs/authentication
15,Support & Helpdesk,Pylon,Pylon is a support & helpdesk product used to manage or automate work in its domain.,API key/token,Account access,REST,Conditional,API maturity/access,https://docs.usepylon.com/
16,Support & Helpdesk,LiveAgent,LiveAgent is a support & helpdesk product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://www.liveagent.com/api/
17,Support & Helpdesk,Plain,Plain is a support & helpdesk product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://www.plain.com/docs
18,Support & Helpdesk,Help Scout,Help Scout is a support & helpdesk product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://developer.helpscout.com/
19,Support & Helpdesk,Gorgias,Gorgias is a support & helpdesk product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://developers.gorgias.com/
20,Support & Helpdesk,Gladly,Gladly is a support & helpdesk product used to manage or automate work in its domain.,OAuth2/API credentials,Enterprise/customer,REST,Conditional,Enterprise access,https://developer.gladly.com/
21,Communications,Slack,Slack is a communications product used to manage or automate work in its domain.,OAuth2; tokens,Self-serve app creation,Web API + events,Buildable,Scopes/install,https://api.slack.com/authentication
22,Communications,Twilio,Twilio is a communications product used to manage or automate work in its domain.,API key/secret; OAuth2,Self-serve trial,Broad REST + SDKs,Buildable,Phone/account verification,https://www.twilio.com/docs/usage/api
23,Communications,Zoho Cliq,Zoho Cliq is a communications product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://www.zoho.com/cliq/help/restapi/
24,Communications,Lark,Lark is a communications product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/
25,Communications,Pumble,Pumble is a communications product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://pumble.com/
26,Communications,Discord,Discord is a communications product used to manage or automate work in its domain.,Bot token; OAuth2,Self-serve developer portal,REST + Gateway,Buildable,Bot permissions/intents,https://discord.com/developers/docs/topics/oauth2
27,Communications,Telegram,Telegram is a communications product used to manage or automate work in its domain.,Bot token,Self-serve via BotFather,Bot HTTP API + MTProto,Buildable,Bot/user boundary,https://core.telegram.org/bots/api
28,Communications,WhatsApp Business,WhatsApp Business is a communications product used to manage or automate work in its domain.,OAuth2/access token,Meta business/app setup,Cloud REST + webhooks,Buildable with gate,Business verification/permissions,https://developers.facebook.com/docs/whatsapp/cloud-api/
29,Communications,Aircall,Aircall is a communications product used to manage or automate work in its domain.,Basic API ID/token; OAuth2,Basic self-serve; OAuth tech partner,REST + webhooks,Buildable with gate,Approved tech partner,https://developer.aircall.io/docs/authentication
30,Communications,Vonage,Vonage is a communications product used to manage or automate work in its domain.,API key/secret; JWT; Basic,Self-serve account,Broad REST + SDKs,Buildable,Product-specific auth,https://developer.vonage.com/en/getting-started/concepts/authentication
31,Marketing & Ads,Google Ads,Google Ads is a marketing & ads product used to manage or automate work in its domain.,OAuth2 + developer token,Token/access levels,REST/gRPC,Buildable with gate,Developer token/access level,https://developers.google.com/google-ads/api/rest/auth
32,Marketing & Ads,Meta Ads,Meta Ads is a marketing & ads product used to manage or automate work in its domain.,OAuth2/access token,App + review for production,Marketing REST/Graph,Buildable with gate,App review/permissions,https://developers.facebook.com/docs/marketing-apis/
33,Marketing & Ads,LinkedIn Ads,LinkedIn Ads is a marketing & ads product used to manage or automate work in its domain.,OAuth2,App + product access/review,REST,Buildable with gate,Product approval,https://learn.microsoft.com/linkedin/marketing/
34,Marketing & Ads,GoHighLevel,GoHighLevel is a marketing & ads product used to manage or automate work in its domain.,OAuth2,Developer account; public approval,REST,Buildable,Marketplace approval,https://marketplace.gohighlevel.com/docs/Authorization/OAuth2.0/
35,Marketing & Ads,Mailchimp,Mailchimp is a marketing & ads product used to manage or automate work in its domain.,API key; OAuth2,API key self-serve,REST,Buildable,Account permissions,https://mailchimp.com/developer/marketing/guides/how-to-use-oauth2/
36,Marketing & Ads,Klaviyo,Klaviyo is a marketing & ads product used to manage or automate work in its domain.,Private key; OAuth2; public key,Self-serve keys; admin for OAuth app,REST,Buildable,Admin role for keys/OAuth,https://developers.klaviyo.com/en/reference/api_overview
37,Marketing & Ads,systeme.io,systeme.io is a marketing & ads product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://systeme.io/
38,Marketing & Ads,Pinterest,Pinterest is a marketing & ads product used to manage or automate work in its domain.,OAuth2,App + permissions/review,REST,Buildable with gate,App/permission review,https://developers.pinterest.com/docs/reference/
39,Marketing & Ads,Threads,Threads is a marketing & ads product used to manage or automate work in its domain.,OAuth2/access token,Meta app/user auth,REST,Buildable,Meta permissions,https://developers.facebook.com/docs/threads/
40,Marketing & Ads,SendGrid,SendGrid is a marketing & ads product used to manage or automate work in its domain.,API key bearer,API key self-serve,REST + webhooks,Buildable,Sender/account verification,https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication
41,Ecommerce,Shopify,Shopify is a ecommerce product used to manage or automate work in its domain.,OAuth2/access tokens,Dev store self-serve; public distribution review,REST + GraphQL,Buildable with gate,Scopes/distribution review,https://shopify.dev/docs/apps/build/authentication-authorization
42,Ecommerce,WooCommerce,WooCommerce is a ecommerce product used to manage or automate work in its domain.,Consumer key/secret; OAuth1,Store owner self-serve,REST,Buildable,Store credentials,https://woocommerce.com/document/woocommerce-rest-api/
43,Ecommerce,BigCommerce,BigCommerce is a ecommerce product used to manage or automate work in its domain.,OAuth2,Dev stores self-serve; marketplace review,REST + GraphQL,Buildable with gate,Marketplace approval,https://developer.bigcommerce.com/docs/start/authentication
44,Ecommerce,Salesforce Commerce Cloud,Salesforce Commerce Cloud is a ecommerce product used to manage or automate work in its domain.,OAuth2/client credentials,Enterprise access,OCAPI/SCAPI REST,Conditional,Tenant access,https://developer.salesforce.com/docs/commerce/
45,Ecommerce,Magento / Adobe Commerce,Magento / Adobe Commerce is a ecommerce product used to manage or automate work in its domain.,Integration token; OAuth2 contexts,Self-hosted self-serve; cloud varies,REST + GraphQL,Buildable,Deployment/admin,https://developer.adobe.com/commerce/webapi/rest/
46,Ecommerce,Squarespace,Squarespace is a ecommerce product used to manage or automate work in its domain.,OAuth2/API keys,Developer app,REST,Buildable with caveat,API product permissions,https://developers.squarespace.com/
47,Ecommerce,Ecwid,Ecwid is a ecommerce product used to manage or automate work in its domain.,OAuth2/access token,Self-serve,REST,Buildable,Store scopes,https://api-docs.ecwid.com/
48,Ecommerce,Gumroad,Gumroad is a ecommerce product used to manage or automate work in its domain.,OAuth2/access token,Developer account,REST,Buildable,Account/app,https://gumroad.com/api
49,Ecommerce,Amazon Selling Partner API,Amazon Selling Partner API is a ecommerce product used to manage or automate work in its domain.,OAuth2 + AWS signing,Seller/vendor authorization,Broad REST,Buildable with gate,Roles/seller authorization,https://developer-docs.amazon.com/sp-api/
50,Ecommerce,fanbasis,fanbasis is a ecommerce product used to manage or automate work in its domain.,API credentials,Customer/partner access,API varies,Conditional,Limited public docs,https://fanbasis.com/
51,Data / SEO / Scraping,DataForSEO,DataForSEO is a data / seo / scraping product used to manage or automate work in its domain.,Basic auth,Free account + API access,Broad REST,Buildable,Production usage/billing,https://docs.dataforseo.com/v3/auth/
52,Data / SEO / Scraping,SE Ranking,SE Ranking is a data / seo / scraping product used to manage or automate work in its domain.,API key,Account/plan,REST,Buildable with gate,Plan/API access,https://seranking.com/api/
53,Data / SEO / Scraping,Ahrefs,Ahrefs is a data / seo / scraping product used to manage or automate work in its domain.,API token/subscription,Paid API access,REST,Buildable with gate,Paid credits/plan,https://ahrefs.com/api
54,Data / SEO / Scraping,MrScraper,MrScraper is a data / seo / scraping product used to manage or automate work in its domain.,API key,Account/API access,REST,Buildable,Usage/credits,https://docs.mrscraper.com/
55,Data / SEO / Scraping,Apify,Apify is a data / seo / scraping product used to manage or automate work in its domain.,API token,Free tier/self-serve,REST + SDK/webhooks,Buildable,Usage limits,https://docs.apify.com/api/v2
56,Data / SEO / Scraping,Firecrawl,Firecrawl is a data / seo / scraping product used to manage or automate work in its domain.,API key,Self-serve/free tier,REST + SDK,Buildable,Usage/rate limits,https://docs.firecrawl.dev/
57,Data / SEO / Scraping,Bright Data,Bright Data is a data / seo / scraping product used to manage or automate work in its domain.,API key/token,Paid account,REST/proxy,Buildable with gate,Paid usage,https://docs.brightdata.com/
58,Data / SEO / Scraping,Sherlock,Sherlock is a data / seo / scraping product used to manage or automate work in its domain.,None; local CLI,Free/open-source,CLI,Buildable as tool,No hosted API,https://github.com/sherlock-project/sherlock
59,Data / SEO / Scraping,Waterfall.io,Waterfall.io is a data / seo / scraping product used to manage or automate work in its domain.,API key/token,Account/plan,API,Conditional,Access/docs,https://waterfall.io/
60,Data / SEO / Scraping,Clay,Clay is a data / seo / scraping product used to manage or automate work in its domain.,API key/webhooks,Workspace access,API/integrations,Conditional,Plan/workspace,https://www.clay.com/
61,Developer / Infra,GitHub,GitHub is a developer / infra product used to manage or automate work in its domain.,PAT; GitHub App; OAuth2,Self-serve,REST + GraphQL,Buildable,Scopes/app installation,https://docs.github.com/en/rest/authentication/
62,Developer / Infra,Vercel,Vercel is a developer / infra product used to manage or automate work in its domain.,Bearer token/OAuth,Self-serve,REST,Buildable,Team permissions,https://vercel.com/docs/rest-api
63,Developer / Infra,Netlify,Netlify is a developer / infra product used to manage or automate work in its domain.,PAT/OAuth2,Self-serve PAT,REST + CLI,Buildable,Team/SAML permissions,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/
64,Developer / Infra,Cloudflare,Cloudflare is a developer / infra product used to manage or automate work in its domain.,API token/key,Self-serve,Broad REST,Buildable,Account permissions,https://developers.cloudflare.com/api/
65,Developer / Infra,Supabase,Supabase is a developer / infra product used to manage or automate work in its domain.,API keys/JWT,Self-serve projects,REST/GraphQL + management,Buildable,Service-role security,https://supabase.com/docs/guides/api
66,Developer / Infra,Neo4j,Neo4j is a developer / infra product used to manage or automate work in its domain.,Basic/OAuth/SSO,Trial/self-serve varies,REST/query APIs,Buildable with caveat,Deployment model,https://neo4j.com/docs/api/
67,Developer / Infra,Snowflake,Snowflake is a developer / infra product used to manage or automate work in its domain.,OAuth; key-pair JWT,Account/admin setup,SQL REST API,Buildable with gate,Account/user/key setup,https://docs.snowflake.com/en/developer-guide/sql-api/authenticating
68,Developer / Infra,MongoDB Atlas,MongoDB Atlas is a developer / infra product used to manage or automate work in its domain.,OAuth2 service account; API key/Digest,Self-serve but owner permissions,REST Admin API,Buildable with gate,Owner permissions/network access,https://www.mongodb.com/docs/atlas/configure-api-access/
69,Developer / Infra,Datadog,Datadog is a developer / infra product used to manage or automate work in its domain.,API + application key; OAuth2,Self-serve keys,Broad REST,Buildable,Org permissions,https://docs.datadoghq.com/api/latest/authentication/
70,Developer / Infra,Sentry,Sentry is a developer / infra product used to manage or automate work in its domain.,Bearer token; OAuth2,Self-serve tokens,REST,Buildable,Org role/scopes,https://docs.sentry.io/api/auth/
71,Productivity,Notion,Notion is a productivity product used to manage or automate work in its domain.,OAuth2; integration token,Self-serve integrations,REST,Buildable,Integration scopes,https://developers.notion.com/reference/authentication
72,Productivity,Airtable,Airtable is a productivity product used to manage or automate work in its domain.,PAT; OAuth2,Self-serve,REST,Buildable,Base/workspace permissions,https://airtable.com/developers/web/api/authentication
73,Productivity,Linear,Linear is a productivity product used to manage or automate work in its domain.,API key; OAuth2,Self-serve,GraphQL,Buildable,Workspace admin for OAuth app,https://linear.app/developers/graphql
74,Productivity,Jira,Jira is a productivity product used to manage or automate work in its domain.,API token + Basic; OAuth2,Self-serve token,Broad REST,Buildable,Cloud account/admin scopes,https://developer.atlassian.com/cloud/jira/platform/rest/v3/
75,Productivity,Asana,Asana is a productivity product used to manage or automate work in its domain.,PAT; OAuth2,Self-serve,REST,Buildable,Workspace permissions,https://developers.asana.com/docs/authentication
76,Productivity,Monday.com,Monday.com is a productivity product used to manage or automate work in its domain.,API token; OAuth2,Free developer account,GraphQL,Buildable,User/workspace permissions,https://developer.monday.com/api-reference/docs/authentication
77,Productivity,ClickUp,ClickUp is a productivity product used to manage or automate work in its domain.,Personal token; OAuth2,Self-serve token,REST,Buildable,OAuth app owner/admin,https://developer.clickup.com/docs/authentication
78,Productivity,Coda,Coda is a productivity product used to manage or automate work in its domain.,API token,Self-serve,REST,Buildable,Doc permissions,https://coda.io/developers/apis/v1
79,Productivity,Smartsheet,Smartsheet is a productivity product used to manage or automate work in its domain.,OAuth2; access token,Developer/enterprise account,REST,Buildable with caveat,Account/plan,https://developers.smartsheet.com/api/smartsheet/openapi
80,Productivity,Harvest,Harvest is a productivity product used to manage or automate work in its domain.,OAuth2; PAT,Self-serve,REST,Buildable,Account ID/scopes,https://help.getharvest.com/api-v2/introduction/overview/general/
81,Finance,Stripe,Stripe is a finance product used to manage or automate work in its domain.,API keys; OAuth2/Connect,Self-serve test mode,Broad REST + webhooks,Buildable with gate,Live onboarding/KYC,https://docs.stripe.com/keys
82,Finance,Plaid,Plaid is a finance product used to manage or automate work in its domain.,Client ID + secret; access tokens,Sandbox self-serve; production review,Broad REST + webhooks,Buildable with gate,Production approval,https://plaid.com/docs/api/
83,Finance,Binance,Binance is a finance product used to manage or automate work in its domain.,API key + secret; signed requests,Self-serve account,REST + WebSocket,Buildable with caveat,Trading permissions/region,https://developers.binance.com/docs/binance-spot-api-docs/rest-api/general-api-information
84,Finance,Paygent Connect,Paygent Connect is a finance product used to manage or automate work in its domain.,API credentials/token,Merchant onboarding,NMI-powered API,Conditional,Merchant onboarding,https://paygent.com/
85,Finance,iPayX,iPayX is a finance product used to manage or automate work in its domain.,API credentials/token,Account/partner access,API,Conditional,Credential gate,https://ipayx.ai/docs
86,Finance,QuickBooks,QuickBooks is a finance product used to manage or automate work in its domain.,OAuth2,Sandbox self-serve; production review,REST,Buildable with gate,App review/scopes,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization
87,Finance,Xero,Xero is a finance product used to manage or automate work in its domain.,OAuth2,Developer app self-serve,REST,Buildable with gate,Connection limits/terms,https://developer.xero.com/documentation/guides/oauth2/overview/
88,Finance,Brex,Brex is a finance product used to manage or automate work in its domain.,Bearer user token,Admin + developer agreement,REST,Buildable with gate,Admin approval/agreement,https://developer.brex.com/guides/authentication
89,Finance,Ramp,Ramp is a finance product used to manage or automate work in its domain.,OAuth2/API credentials,Business/admin access,REST,Conditional,Customer/admin access,https://docs.ramp.com/
90,Finance,PitchBook,PitchBook is a finance product used to manage or automate work in its domain.,Research/API credentials,Enterprise/contact sales,Research/data APIs,Gated,Commercial access,https://pitchbook.com/
91,AI / Research / Media,NotebookLM,NotebookLM is a ai / research / media product used to manage or automate work in its domain.,No general public NotebookLM API identified,Enterprise/Google Cloud paths differ,No general public API in docs-first scan,Blocked for direct toolkit,No general public API,https://cloud.google.com/gemini
92,AI / Research / Media,Otter AI,Otter AI is a ai / research / media product used to manage or automate work in its domain.,MCP/API depending on product,Account/plan access,MCP + API/integration,Buildable with caveat,Product/API access,https://help.otter.ai/hc/en-us
93,AI / Research / Media,Fathom,Fathom is a ai / research / media product used to manage or automate work in its domain.,API/OAuth depending on access,Account/developer access,API/integration,Conditional,API access,https://fathom.video/
94,AI / Research / Media,Consensus,Consensus is a ai / research / media product used to manage or automate work in its domain.,OAuth requested / access-dependent,Request/account gate,API not broadly documented,Conditional,Access request,https://consensus.app/
95,AI / Research / Media,Reducto,Reducto is a ai / research / media product used to manage or automate work in its domain.,API key,Self-serve,REST,Buildable,Usage limits,https://docs.reducto.ai/
96,AI / Research / Media,Devin,Devin is a ai / research / media product used to manage or automate work in its domain.,MCP/API,Account/plan access,MCP + platform APIs,Buildable with caveat,Plan/integration permissions,https://docs.devin.ai/
97,AI / Research / Media,higgsfield,higgsfield is a ai / research / media product used to manage or automate work in its domain.,API/CLI varies,Account/plan,CLI/API evolving,Conditional,API maturity,https://higgsfield.ai/cli
98,AI / Research / Media,Mermaid CLI,Mermaid CLI is a ai / research / media product used to manage or automate work in its domain.,None; local CLI,Free/open-source,CLI,Buildable as tool,Not an API,https://github.com/mermaid-js/mermaid-cli
99,AI / Research / Media,YouTube Transcript,YouTube Transcript is a ai / research / media product used to manage or automate work in its domain.,API key,API signup/trial,REST,Buildable,Usage limits,https://transcriptapi.com/
100,AI / Research / Media,Grain,Grain is a ai / research / media product used to manage or automate work in its domain.,API/OAuth depending on access,Account/developer access,REST/integrations,Conditional,API/scopes,https://grain.com/
